RVSN_Group,merged_symptom,MDCARE_YM,COUNT
3,J02,200401,16232
3,J02,200402,15512
3,J02,200403,22404
3,J02,200404,20530
3,J02,200405,18017
3,J02,200406,14909
3,J02,200407,12731
3,J02,200408,11379
3,J02,200409,18031
3,J02,200410,20389
3,J02,200411,19375
3,J02,200412,20630
3,J02,200501,16406
3,J02,200502,13060
3,J02,200503,18061
3,J02,200504,22042
3,J02,200505,21258
3,J02,200506,15397
3,J02,200507,13147
3,J02,200508,12244
3,J02,200509,17700
3,J02,200510,21170
3,J02,200511,20266
3,J02,200512,27647
3,J02,200601,19964
3,J02,200602,15807
3,J02,200603,19579
3,J02,200604,23900
3,J02,200605,20517
3,J02,200606,14867
3,J02,200607,12484
3,J02,200608,11093
3,J02,200609,17861
3,J02,200610,16130
3,J02,200611,18706
3,J02,200612,20078
3,J02,200701,21351
3,J02,200702,14062
3,J02,200703,16420
3,J02,200704,20522
3,J02,200705,17350
3,J02,200706,16681
3,J02,200707,17209
3,J02,200708,14839
3,J02,200709,23838
3,J02,200710,24927
3,J02,200711,26127
3,J02,200712,27305
3,J02,200801,26858
3,J02,200802,31428
3,J02,200803,31002
3,J02,200804,27032
3,J02,200805,23707
3,J02,200806,20577
3,J02,200807,16788
3,J02,200808,14820
3,J02,200809,20638
3,J02,200810,23982
3,J02,200811,23133
3,J02,200812,30981
3,J02,200901,27673
3,J02,200902,17850
3,J02,200903,23759
3,J02,200904,29404
3,J02,200905,24623
3,J02,200906,20679
3,J02,200907,18103
3,J02,200908,20448
3,J02,200909,32922
3,J02,200910,39938
3,J02,200911,36961
3,J02,200912,29831
3,J02,201001,24938
3,J02,201002,21714
3,J02,201003,29614
3,J02,201004,37576
3,J02,201005,30155
3,J02,201006,24111
3,J02,201007,19676
3,J02,201008,17159
3,J02,201009,27955
3,J02,201010,31414
3,J02,201011,30366
3,J02,201012,35339
3,J02,201101,27945
3,J02,201102,21515
3,J02,201103,29314
3,J02,201104,28241
3,J02,201105,27084
3,J02,201106,21928
3,J02,201107,18888
3,J02,201108,19057
3,J02,201109,28170
3,J02,201110,28740
3,J02,201111,26628
3,J02,201112,33194
3,J02,201201,30978
3,J02,201202,28198
3,J02,201203,34571
3,J02,201204,32753
3,J02,201205,28774
3,J02,201206,22920
3,J02,201207,19307
3,J02,201208,17979
3,J02,201209,27696
3,J02,201210,28335
3,J02,201211,28081
3,J02,201212,24553
3,J02,201301,26921
3,J02,201302,27706
3,J02,201303,30910
3,J02,201304,31137
3,J02,201305,27213
3,J02,201306,22551
3,J02,201307,21136
3,J02,201308,19603
3,J02,201309,27850
3,J02,201310,28249
3,J02,201311,28187
3,J02,201312,24974
