CTRB_Group,merged_symptom,MDCARE_YM,COUNT
1,J05,200401,141
1,J05,200402,152
1,J05,200403,221
1,J05,200404,208
1,J05,200405,152
1,J05,200406,133
1,J05,200407,108
1,J05,200408,100
1,J05,200409,119
1,J05,200410,140
1,J05,200411,175
1,J05,200412,172
1,J05,200501,212
1,J05,200502,154
1,J05,200503,242
1,J05,200504,316
1,J05,200505,265
1,J05,200506,188
1,J05,200507,151
1,J05,200508,116
1,J05,200509,220
1,J05,200510,254
1,J05,200511,257
1,J05,200512,424
1,J05,200601,426
1,J05,200602,291
1,J05,200603,353
1,J05,200604,441
1,J05,200605,404
1,J05,200606,300
1,J05,200607,227
1,J05,200608,269
1,J05,200609,331
1,J05,200610,296
1,J05,200611,360
1,J05,200612,421
1,J05,200701,447
1,J05,200702,286
1,J05,200703,330
1,J05,200704,412
1,J05,200705,382
1,J05,200706,407
1,J05,200707,364
1,J05,200708,319
1,J05,200709,510
1,J05,200710,637
1,J05,200711,519
1,J05,200712,509
1,J05,200801,528
1,J05,200802,687
1,J05,200803,667
1,J05,200804,568
1,J05,200805,574
1,J05,200806,489
1,J05,200807,331
1,J05,200808,339
1,J05,200809,418
1,J05,200810,556
1,J05,200811,551
1,J05,200812,725
1,J05,200901,576
1,J05,200902,438
1,J05,200903,477
1,J05,200904,647
1,J05,200905,490
1,J05,200906,381
1,J05,200907,320
1,J05,200908,353
1,J05,200909,515
1,J05,200910,635
1,J05,200911,576
1,J05,200912,537
1,J05,201001,447
1,J05,201002,365
1,J05,201003,598
1,J05,201004,829
1,J05,201005,701
1,J05,201006,464
1,J05,201007,462
1,J05,201008,323
1,J05,201009,537
1,J05,201010,621
1,J05,201011,564
1,J05,201012,587
1,J05,201101,361
1,J05,201102,328
1,J05,201103,389
1,J05,201104,449
1,J05,201105,461
1,J05,201106,336
1,J05,201107,350
1,J05,201108,339
1,J05,201109,431
1,J05,201110,519
1,J05,201111,460
1,J05,201112,599
1,J05,201201,507
1,J05,201202,490
1,J05,201203,548
1,J05,201204,601
1,J05,201205,518
1,J05,201206,321
1,J05,201207,413
1,J05,201208,357
1,J05,201209,454
1,J05,201210,402
1,J05,201211,412
1,J05,201212,364
1,J05,201301,410
1,J05,201302,474
1,J05,201303,537
1,J05,201304,473
1,J05,201305,418
1,J05,201306,352
1,J05,201307,343
1,J05,201308,377
1,J05,201309,457
1,J05,201310,492
1,J05,201311,439
1,J05,201312,367
